location,area,bhk,price
Kandivali West,827,2,19400000
Kandivali West,1071,3,25200000
Kandivali West,1071,3,25200000
Kandivali West,781,2,18400000
Kandivali West,781,2,18400000
Kandivali West,715,2,16800000
Kandivali West,715,2,16800000
Kandivali West,1102,3,25900000
Kandivali West,1102,3,25900000
Khopoli,237,1,1999000
Taloja,595,2,4051000
Bhiwandi,720,2,5504000
Bhiwandi,483,1,3752000
Bhiwandi,514,1,3936000
Thane West,343,1,5195000
Thane West,489,2,7498000
Thane West,505,2,7744000
Thane West,672,2,10300000
Thane West,659,2,10100000
Malad West,384,1,9984000
Malad West,394,1,10200000
Kharghar,937,2,13500000
Kharghar,945,2,14400000
Kharghar,2135,5,31400000
Kharghar,1198,3,17900000
Kharghar,2396,6,35900000
Kharghar,1698,3,24800000
Kalyan East,314,1,4350000
Virar,702,2,5849000
Virar,473,1,3599000
Virar,702,2,5849000
Virar,473,1,3599000
Umroli,500,1,1200000
Umroli,600,1,1440000
Umroli,650,1,1560000
Umroli,930,2,2232000
Kandivali West,1462,3,35100000
Kandivali West,831,2,19900000
Panvel,895,3,14200000
Panvel,601,2,9792000
Thane West,679,2,12400000
Thane West,887,3,18700000
Goregaon East,326,1,8802000
Goregaon East,334,1,9018000
Titwala,598,2,3950000
Rasayani,302,1,2130000
Rasayani,514,2,3400000
Rasayani,455,2,2950000
Rasayani,651,2,4200000
Rasayani,568,2,4025000
Rasayani,421,1,2650000
Virar,692,2,5300000
Virar,487,1,3699000
Badlapur West,520,2,3600000
Badlapur West,368,1,2500000
Badlapur West,485,2,3235000
Dronagiri,650,2,5799000
Kalyan West,506,1,4277000
Kalyan West,760,2,6603000
Kalyan West,529,1,4395000
Chembur,917,3,28400000
Chembur,684,2,21200000
Chembur,617,2,19100000
Kandivali East,850,2,21600000
Kandivali East,850,2,21600000
Kandivali East,940,2,23800000
Kandivali East,940,2,23800000
Kalyan West,764,2,6629000
Kamothe,628,2,9000000
Kamothe,515,1,7500000
Dombivali,917,3,9500000
Dombivali,576,2,6000000
Dombivali,576,2,6000000
Dombivali,433,1,4500000
Dombivali,433,1,4500000
Dombivali,694,2,7100000
Dombivali,694,2,7100000
Chembur,735,2,19500000
Kharghar,1835,3,22000000
Kharghar,1835,3,22000000
Kharghar,1835,3,22000000
Kharghar,1835,3,22000000
Kharghar,1245,2,14900000
Kharghar,1245,2,14900000
Kharghar,1745,3,20800000
Kharghar,1745,3,20800000
Kharghar,1335,2,16800000
Kharghar,1335,2,16800000
Chembur,550,1,9200000
Andheri West,651,1,2000000
Kurla,780,1,8500000
Ambernath West,1000,2,3200000
Kalyan East,775,1,4727000
Kalyan East,735,1,4483000
Kalyan East,945,2,5764000
Kalyan East,875,2,5337000
Kalyan East,700,1,4270000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Vichumbe,540,1,2750000
Panvel,380,1,1600000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Ulwe,950,2,8000000
Kewale,950,2,5500000
Kharghar,610,1,2700000
Bhiwandi,436,1,3400000
Andheri West,650,1,2000000
Santacruz East,2100,4,32500000
Kharghar,1270,2,6900000
Chembur,1150,2,15100000
Chembur,582,1,9500000
Koper Khairane,735,2,8000000
Andheri West,335,1,12400000
Andheri West,675,2,25000000
Andheri West,410,1,15100000
Andheri West,395,1,14600000
Dombivali,720,1,4700000
Borivali East,1530,3,28500000
Borivali West,750,2,18500000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Dombivali East,550,1,3190000
Andheri West,651,1,2000000
Andheri West,650,1,2000000
Thane East,1000,3,15000000
Andheri East,378,1,4500000
Kurla,920,2,11000000
Nerul,930,2,7068000
Andheri West,650,1,2000000
Thane West,570,1,5500000
Ulwe,740,2,8000000
Andheri West,1800,3,37500000
Kharghar,1125,2,10000000
Andheri West,651,1,2000000
Virar East,310,1,1650000
Ganga Nagar,490,1,1740000
Nala Sopara,560,1,2500000
Andheri West,651,1,2000000
Vashi,1555,3,25600000
Goregaon Karjat Road,820,2,19500000
Dombivli (West),525,1,2730000
Jogeshwari East,600,1,9500000
Powai,600,1,11500000
Thane West,1070,3,10700000
Badlapur West,560,1,1750000
Badlapur West,575,1,2300000
Badlapur East,351,1,2350000
Borivali West,418,1,10600000
Seawoods,1115,2,25000000
Andheri West,651,1,2000000
Greater Khanda,860,2,8000000
Nala Sopara,520,1,2500000
Andheri West,651,1,2000000
Malad West,1233,2,27500000
Chembur,600,1,8950000
Borivali West,700,2,14500000
Girgaon,415,2,9500000
Vasai West,600,1,3000000
Andheri West,430,2,12500000
Ulwe,1070,2,8100000
Seawoods,500,1,5600000
Dombivali East,535,1,4500000
Vasai West,680,2,6200000
Goregaon Karjat Road,820,2,19500000
Vasai,335,1,1750000
Borivali West,1525,3,32500000
Bandra West,965,2,8500000
Dahisar,450,1,6399000
Ulwe,430,1,2500000
Powai,1300,3,23000000
Thane West,500,1,6500000
Kandivali West,2500,4,44000000
Kharghar,1280,2,4900000
Kalyan West,655,1,5000000
Neral,560,1,2100000
Mira Road East,525,1,7500000
Mulund West,939,3,25800000
Mahim,950,2,34000000
Badlapur East,397,1,3493000
