location,area,bhk,price
Sarjapur,1306,2,5550000
Sarjapur,1574,3,6689000
Sarjapur,1657,2,7042000
Sarjapur,1304,2,5542000
Sarjapur,1657,2,7042000
Sarjapur,1486,3,6315000
Sarjapur,1486,3,6315000
Sarjapur,2024,3,8602000
Sarjapur,2024,3,8602000
Sarjapur,1730,3,7352000
Sarjapur,1730,3,7352000
Sarjapur,2091,3,8635000
Sarjapur,2091,3,8635000
Chikkanayakanahalli at Off Sarjapur,1175,2,7877000
Chikkanayakanahalli at Off Sarjapur,643,1,4446000
Chikkanayakanahalli at Off Sarjapur,1422,3,9470000
Chikkanayakanahalli at Off Sarjapur,1105,2,7426000
Chikkanayakanahalli at Off Sarjapur,1104,2,7419000
Chikkanayakanahalli at Off Sarjapur,1103,2,7413000
Chikkanayakanahalli at Off Sarjapur,1100,2,7393000
Chikkanayakanahalli at Off Sarjapur,1099,2,7387000
Gunjur,1310,2,8913000
Chikkanayakanahalli at Off Sarjapur,625,1,4330000
Gunjur,1708,3,11600000
Gunjur,1451,3,9830000
Chikkanayakanahalli at Off Sarjapur,1210,2,8103000
Gunjur,1653,3,11100000
Gunjur,1229,2,8237000
Chikkanayakanahalli at Off Sarjapur,780,1,5330000
Gunjur,1658,3,11200000
Chikkanayakanahalli at Off Sarjapur,619,1,4291000
Chikkanayakanahalli at Off Sarjapur,1390,3,9264000
Gunjur,1464,3,9914000
Chikkanayakanahalli at Off Sarjapur,875,2,5942000
Gunjur,1303,2,8718000
Chikkanayakanahalli at Off Sarjapur,880,2,5975000
Gunjur,1302,2,8711000
Gunjur,1528,3,10300000
Chikkanayakanahalli at Off Sarjapur,646,1,4466000
Krishnarajapura,2371,4,17200000
Krishnarajapura,1690,3,12300000
Krishnarajapura,1315,2,9352000
Dasarahalli on Tumkur Road,2413,3,29100000
Dasarahalli on Tumkur Road,2385,3,28600000
Dasarahalli on Tumkur Road,2395,3,28600000
Dasarahalli on Tumkur Road,3077,4,36900000
Kogilu,1769,3,12900000
Kogilu,1239,2,9259000
Bidadi,785,2,3887000
Dasarahalli on Tumkur Road,1441,3,10800000
Bidadi,878,2,4296000
Kogilu,1779,3,13000000
Dasarahalli on Tumkur Road,1239,2,9399000
Bidadi,994,3,4806000
Nagarbhavi,1216,3,12900000
Kogilu,1261,2,9412000
Dasarahalli on Tumkur Road,1448,3,10800000
Vijayanagar,856,3,8989000
Nagarbhavi,856,3,9157000
Kogilu,1784,3,13000000
Budigere Cross,1404,3,10200000
Dasarahalli on Tumkur Road,1246,2,9449000
Nagarbhavi,745,2,8139000
Vijayanagar,746,2,7987000
Budigere Cross,1530,3,11100000
Dasarahalli on Tumkur Road,1586,3,11800000
Kogilu,1754,3,12800000
Vijayanagar,1038,3,11100000
Nagarbhavi,1038,3,11300000
Yeshwantpur,1518,3,19300000
Yeshwantpur,1546,2,19600000
Yeshwantpur,2074,3,26300000
Mahadevapura,1109,2,8205000
Mahadevapura,1188,2,8790000
Mahadevapura,1054,2,7798000
Mahadevapura,1114,2,8242000
Mahadevapura,1161,2,8590000
Mahadevapura,1160,2,8582000
Devanahalli,3875,3,22600000
Devanahalli,2325,3,13700000
Devanahalli,1163,3,7147000
Mahadevapura,1094,2,8094000
Mahadevapura,1156,2,8553000
Mahadevapura,1090,2,8064000
Mahadevapura,1167,2,8634000
Mahadevapura,1100,2,8138000
Mahadevapura,1165,2,8619000
Mahadevapura,1146,2,8479000
Mahadevapura,1142,2,8449000
Mahadevapura,1140,2,8434000
Mahadevapura,1150,2,8508000
Mahadevapura,1215,2,8989000
Mahadevapura,1082,2,8005000
Mahadevapura,1195,2,8841000
Mahadevapura,1128,2,8346000
Mahadevapura,1133,2,8383000
Krishnarajapura,1230,3,6844000
Krishnarajapura,1235,2,6872000
Krishnarajapura,1232,2,6856000
Krishnarajapura,1210,2,6733000
Krishnarajapura,1275,3,7095000
Krishnarajapura,1280,2,7123000
Krishnarajapura,1215,2,6761000
Krishnarajapura,1390,3,7735000
Krishnarajapura,1585,3,8820000
Krishnarajapura,1585,2,8820000
Krishnarajapura,1190,2,6622000
Krishnarajapura,1135,2,6316000
Krishnarajapura,1200,2,6678000
Sompura,1170,2,3949000
Sompura,1400,3,4501000
Sarjapur,920,2,4140000
Sarjapur,1475,3,6637000
Sarjapur,1320,3,5940000
Sarjapur,1115,2,5017000
Sarjapur,1125,2,5062000
Sarjapur,1325,3,5962000
Sarjapur,1025,2,4612000
