location,area,bhk,price
Sector 5 Dwarka,2200,4,15900000
Sector-18 Dwarka,2200,4,25900000
Sector 6 Dwarka,2000,3,19500000
Sector 6 Dwarka,2200,4,31500000
Sector 10 Dwarka,2200,4,29500000
Sector 10 Dwarka,1850,3,16500000
Sector 11 Dwarka,1000,2,11500000
Sector 12 Dwarka,2200,4,22900000
Sector 19 Dwarka,2200,4,25700000
Sector 23 Dwarka,1850,3,16500000
Sector 13 Dwarka,2250,4,23500000
Sector 6 Dwarka,2200,4,25500000
Sector 10 Dwarka,2000,3,15500000
Sector-18 Dwarka,1200,2,14500000
Sector 10 Dwarka,1500,3,16900000
Sector 22 Dwarka,1400,3,15000000
Sector 10 Dwarka,1900,4,17100000
Sector 23 Dwarka,1750,3,16500000
Sector 17 Dwarka,1200,2,9900000
Sector 4 Dwarka,2300,4,25000000
Sector-18 Dwarka,2700,4,28000000
Sector 6 Dwarka,2500,4,30500000
Sector 6 Dwarka,1600,4,26000000
Sector-18 Dwarka,1800,3,20800000
Sector 12 Dwarka,2100,3,20500000
Sector 4 Dwarka,1900,3,17400000
Sector 4 Dwarka,2200,4,22500000
Sector 19 Dwarka,3000,4,26800000
Sector 12 Dwarka,2100,2,19200000
Sector 4 Dwarka,1600,3,18500000
Sector 12 Dwarka,2100,4,21000000
Sector 12 Dwarka,2400,4,22900000
Sector 12 Dwarka,1600,3,14600000
Sector 11 Dwarka,1100,3,12500000
Sector 18B Dwarka,950,2,11800000
Sector 23 Dwarka,2000,3,15000000
Sector 11 Dwarka,1000,2,11900000
Sector 12 Dwarka,1000,2,10500000
Sector 12 Dwarka,1000,2,11500000
Sector 13 Dwarka,1000,2,11500000
Sector 19 Dwarka,1000,2,11000000
Sector 19 Dwarka,1000,2,9800000
Sector 23 Dwarka,1800,3,13500000
Sector 19 Dwarka,1000,2,10500000
Sector 18A Dwarka,1000,2,9800000
Sector 18A Dwarka,1000,2,9000000
Sector 18A Dwarka,1200,2,10000000
Sector 18A Dwarka,1000,2,8500000
Sector 3 Dwarka,1200,2,11800000
Sector 17 Dwarka,1000,2,9800000
Sector 13 Dwarka,1200,2,12500000
Sector-18 Dwarka,1850,3,18500000
Sector-18 Dwarka,1850,3,17500000
Sector 18A Dwarka,1000,2,9500000
Sector 4 Dwarka,1800,3,16000000
Hari Nagar,1000,3,8500000
Sector 6 Dwarka,2100,3,19000000
Sector 6 Dwarka,1600,3,26000000
Sector 9 Dwarka,1500,3,12800000
Sector 13 Dwarka,2450,4,23500000
Sector 23 Dwarka,1800,3,14000000
Sector 11 Dwarka,2200,4,21500000
Sector 3 Dwarka,1800,3,15500000
Sector 9 Dwarka,1300,2,14000000
Sector 5 Dwarka,1600,3,16500000
Sector 22 Dwarka,4000,3,34800000
Sector 5 Dwarka,1850,3,16900000
Sector 4 Dwarka,1600,3,17200000
Sector 19 Dwarka,1800,3,15500000
Bakkarwala,452,1,975000
Sector 11 Dwarka,1700,3,18200000
Sector 10 Dwarka,2400,4,20000000
Sector 12 Dwarka,1600,3,14500000
Sector-18 Dwarka,2800,4,28500000
Sector 1 Dwarka,1700,3,13000000
Sector 22 Dwarka,1600,3,15000000
Sector 19 Dwarka,1550,3,16000000
Sector-18 Dwarka,1700,3,20500000
Sector 6 Dwarka,1700,3,17800000
Dwarka Mor,900,3,4000000
Dwarka Mor,500,2,1800000
Uttam Nagar,900,3,4000000
Dwarka Mor,450,1,1600000
Uttam Nagar,500,2,1800000
Dwarka Mor,700,2,2800000
Uttam Nagar,450,1,1600000
Dwarka Mor,650,2,2500000
Uttam Nagar,700,2,2800000
Uttam Nagar,650,2,2500000
Dwarka Mor,850,3,3200000
Uttam Nagar,850,3,3200000
Dwarka Mor,600,2,2200000
Uttam Nagar,600,2,2200000
Sector 7 Dwarka,1600,3,16700000
Sector 11 Dwarka,3000,4,34000000
Sector 6 Dwarka,900,2,7600000
DLF Farms,1480,3,6000000
Sector 3 Dwarka,1550,3,14000000
DLF Farms,1230,3,6300000
Uttam Nagar,540,2,3800000
Uttam Nagar,500,1,1700000
Uttam Nagar,450,1,1950000
Uttam Nagar,600,2,2621000
Uttam Nagar,675,2,2695000
Karampura,1219,3,48500000
Karampura,1219,3,48500000
Karampura,1219,3,48500000
Uttam Nagar,1070,3,5321000
Uttam Nagar,895,3,4781000
Uttam Nagar,875,3,4051000
