,BHK,Area,Price,Location
101,2 ,1032 ,94.94 L,"Koyambedu,Chennai"
102,3 ,2550 ,2.83 Cr,"Perungudi,Chennai"
103,3 ,2288 ,2.55 Cr,"Perungudi,Chennai"
104,2 ,1502 ,1.64 Cr,"Perungudi,Chennai"
105,3 ,2256 ,2.51 Cr,"Perungudi,Chennai"
106,3 ,2027 ,2.18 Cr,"Perungudi,Chennai"
107,3 ,2269 ,1.92 Cr,"Perungudi,Chennai"
108,2 ,1477 ,1.61 Cr,"Perungudi,Chennai"
109,3 ,1734 ,1.88 Cr,"Perungudi,Chennai"
110,2 ,1732 ,1.87 Cr,"Perungudi,Chennai"
111,2 ,1343 ,1.48 Cr,"Perungudi,Chennai"
112,4 ,3252 ,3.78 Cr,"Perungudi,Chennai"
113,3 ,2223 ,1.88 Cr,"Perungudi,Chennai"
114,3 ,2242 ,2.39 Cr,"Perungudi,Chennai"
115,3 ,1723 ,1.87 Cr,"Perungudi,Chennai"
116,2 ,1735 ,1.88 Cr,"Perungudi,Chennai"
117,3 ,1730 ,1.87 Cr,"Perungudi,Chennai"
118,3 ,1836 ,1.98 Cr,"Perungudi,Chennai"
119,2 ,1311 ,1.45 Cr,"Perungudi,Chennai"
120,2 ,1561 ,1.7 Cr,"Perungudi,Chennai"
121,2 ,1556 ,1.7 Cr,"Perungudi,Chennai"
122,3 ,2429 ,2.7 Cr,"Perungudi,Chennai"
123,2 ,1317 ,1.45 Cr,"Perungudi,Chennai"
124,2 ,1313 ,1.45 Cr,"Perungudi,Chennai"
125,2 ,1583 ,1.72 Cr,"Perungudi,Chennai"
126,2 ,1577 ,1.72 Cr,"Perungudi,Chennai"
127,2 ,1580 ,1.72 Cr,"Perungudi,Chennai"
128,3 ,2398 ,2.67 Cr,"Perungudi,Chennai"
129,4 ,3210 ,3.55 Cr,"Perungudi,Chennai"
130,3 ,1941 ,2.13 Cr,"Perungudi,Chennai"
131,3 ,2108 ,2.26 Cr,"Perungudi,Chennai"
132,3 ,2111 ,2.11 Cr,"Perungudi,Chennai"
133,3 ,1944 ,1.94 Cr,"Perungudi,Chennai"
134,2 ,1394 ,1.53 Cr,"Perungudi,Chennai"
135,2 ,1392 ,1.53 Cr,"Perungudi,Chennai"
136,3 ,2060 ,2.21 Cr,"Perungudi,Chennai"
137,3 ,2063 ,2.25 Cr,"Perungudi,Chennai"
138,2 ,1398 ,1.53 Cr,"Perungudi,Chennai"
139,3 ,2073 ,2.26 Cr,"Perungudi,Chennai"
140,2 ,1173 ,1.34 Cr,"Guindy,Chennai"
141,3 ,1829 ,2.1 Cr,"Guindy,Chennai"
142,2 ,1108 ,1.27 Cr,"Guindy,Chennai"
143,2 ,1027 ,35.93 L,"Kelambakkam,Chennai"
144,2 ,1026 ,35.89 L,"Kelambakkam,Chennai"
145,2 ,992 ,34.71 L,"Kelambakkam,Chennai"
146,1 ,635 ,22.21 L,"Kelambakkam,Chennai"
147,1 ,634 ,22.18 L,"Kelambakkam,Chennai"
148,2 ,998 ,34.92 L,"Kelambakkam,Chennai"
149,2 ,1297 ,45.38 L,"Kelambakkam,Chennai"
150,2 ,1019 ,35.65 L,"Kelambakkam,Chennai"
151,3 ,1395 ,48.81 L,"Kelambakkam,Chennai"
152,2 ,1068 ,37.36 L,"Kelambakkam,Chennai"
153,2 ,1115 ,68.57 L,"Sholinganallur,Chennai"
154,3 ,1423 ,1.07 Cr,"Tiruvottiyur,Chennai"
155,3 ,1651 ,1.24 Cr,"Tiruvottiyur,Chennai"
156,3 ,1592 ,1.2 Cr,"Tiruvottiyur,Chennai"
157,2 ,1135 ,85.86 L,"Tiruvottiyur,Chennai"
158,4 ,1935 ,1.46 Cr,"Tiruvottiyur,Chennai"
159,2 ,1174 ,1.5 Cr,"Vadapalani,Chennai"
160,3 ,1838 ,2.32 Cr,"Vadapalani,Chennai"
161,3 ,1838 ,2.32 Cr,"Vadapalani,Chennai"
162,3 ,1617 ,2.05 Cr,"Vadapalani,Chennai"
163,3 ,1617 ,2.05 Cr,"Vadapalani,Chennai"
164,2 ,1180 ,1.51 Cr,"Vadapalani,Chennai"
165,2 ,1180 ,1.51 Cr,"Vadapalani,Chennai"
166,4 ,2301 ,2.88 Cr,"Vadapalani,Chennai"
167,4 ,2301 ,2.88 Cr,"Vadapalani,Chennai"
168,2 ,1232 ,1.57 Cr,"Vadapalani,Chennai"
169,2 ,1232 ,1.57 Cr,"Vadapalani,Chennai"
170,3 ,1571 ,3.02 Cr,"Kotturpuram,Chennai"
171,3 ,1571 ,3.02 Cr,"Kotturpuram,Chennai"
172,2 ,1245 ,2.42 Cr,"Kotturpuram,Chennai"
173,2 ,1245 ,2.42 Cr,"Kotturpuram,Chennai"
174,2 ,1238 ,2.4 Cr,"Kotturpuram,Chennai"
175,2 ,1238 ,2.4 Cr,"Kotturpuram,Chennai"
176,3 ,1976 ,3.8 Cr,"Kotturpuram,Chennai"
177,3 ,1976 ,3.8 Cr,"Kotturpuram,Chennai"
178,3 ,1842 ,3.56 Cr,"Kotturpuram,Chennai"
179,3 ,1842 ,3.56 Cr,"Kotturpuram,Chennai"
180,3 ,1979 ,3.81 Cr,"Kotturpuram,Chennai"
181,3 ,1979 ,3.81 Cr,"Kotturpuram,Chennai"
182,3 ,1977 ,3.8 Cr,"Kotturpuram,Chennai"
183,3 ,1977 ,3.8 Cr,"Kotturpuram,Chennai"
184,2 ,1313 ,2.53 Cr,"Kotturpuram,Chennai"
185,2 ,1313 ,2.53 Cr,"Kotturpuram,Chennai"
186,3 ,1951 ,3.76 Cr,"Kotturpuram,Chennai"
187,3 ,1951 ,3.76 Cr,"Kotturpuram,Chennai"
188,2 ,1225 ,2.38 Cr,"Kotturpuram,Chennai"
189,2 ,1225 ,2.38 Cr,"Kotturpuram,Chennai"
190,3 ,1894 ,3.65 Cr,"Kotturpuram,Chennai"
191,3 ,1894 ,3.65 Cr,"Kotturpuram,Chennai"
192,3 ,1891 ,3.65 Cr,"Kotturpuram,Chennai"
193,3 ,1891 ,3.65 Cr,"Kotturpuram,Chennai"
194,2 ,1233 ,2.39 Cr,"Kotturpuram,Chennai"
195,2 ,1233 ,2.39 Cr,"Kotturpuram,Chennai"
196,4 ,2737 ,5.21 Cr,"Kotturpuram,Chennai"
197,4 ,2737 ,5.21 Cr,"Kotturpuram,Chennai"
198,4 ,2729 ,5.19 Cr,"Kotturpuram,Chennai"
199,4 ,2729 ,5.19 Cr,"Kotturpuram,Chennai"
200,3 ,1877 ,3.62 Cr,"Kotturpuram,Chennai"
201,3 ,1877 ,3.62 Cr,"Kotturpuram,Chennai"
202,3 ,1874 ,3.62 Cr,"Kotturpuram,Chennai"
203,3 ,1874 ,3.62 Cr,"Kotturpuram,Chennai"
204,3 ,1878 ,3.62 Cr,"Kotturpuram,Chennai"
205,3 ,1878 ,3.62 Cr,"Kotturpuram,Chennai"
206,3 ,1521 ,2.93 Cr,"Kotturpuram,Chennai"
207,3 ,1521 ,2.93 Cr,"Kotturpuram,Chennai"
208,4 ,2765 ,5.26 Cr,"Kotturpuram,Chennai"
209,4 ,2765 ,5.26 Cr,"Kotturpuram,Chennai"
210,4 ,3289 ,6.21 Cr,"Kotturpuram,Chennai"
211,4 ,3289 ,6.21 Cr,"Kotturpuram,Chennai"
212,4 ,2764 ,5.25 Cr,"Kotturpuram,Chennai"
213,4 ,2764 ,5.25 Cr,"Kotturpuram,Chennai"
214,4 ,2758 ,5.24 Cr,"Kotturpuram,Chennai"
215,4 ,2758 ,5.24 Cr,"Kotturpuram,Chennai"
216,3 ,1987 ,3.82 Cr,"Kotturpuram,Chennai"
217,3 ,1987 ,3.82 Cr,"Kotturpuram,Chennai"
218,2 ,983 ,57.01 L,"Pammal,Chennai"
219,2 ,961 ,55.73 L,"Pammal,Chennai"
220,2 ,961 ,55.73 L,"Pammal,Chennai"
221,3 ,1294 ,75.05 L,"Pammal,Chennai"
222,3 ,1294 ,75.05 L,"Pammal,Chennai"
223,2 ,800 ,46.4 L,"Pammal,Chennai"
224,2 ,800 ,46.4 L,"Pammal,Chennai"
225,3 ,1370 ,71.72 L,"Sithalapakkam,Chennai"
226,2 ,1110 ,58.87 L,"Sithalapakkam,Chennai"
227,3 ,1375 ,71.95 L,"Sithalapakkam,Chennai"
228,2 ,1050 ,56.12 L,"Sithalapakkam,Chennai"
229,3 ,1450 ,75.39 L,"Sithalapakkam,Chennai"
230,3 ,1420 ,74.01 L,"Sithalapakkam,Chennai"
231,2 ,1105 ,58.64 L,"Sithalapakkam,Chennai"
232,3 ,1435 ,74.7 L,"Sithalapakkam,Chennai"
233,3 ,1405 ,73.33 L,"Sithalapakkam,Chennai"
234,3 ,1410 ,73.55 L,"Sithalapakkam,Chennai"
235,2 ,1075 ,57.26 L,"Sithalapakkam,Chennai"
236,2 ,1085 ,57.72 L,"Sithalapakkam,Chennai"
237,2 ,1010 ,49.42 L,"Sithalapakkam,Chennai"
238,3 ,1265 ,66.9 L,"Sithalapakkam,Chennai"
239,3 ,1335 ,70.11 L,"Sithalapakkam,Chennai"
240,3 ,1400 ,73.1 L,"Sithalapakkam,Chennai"
241,2 ,910 ,47.77 L,"Perumbakkam,Chennai"
242,2 ,1310 ,66.49 L,"Perumbakkam,Chennai"
243,2 ,1080 ,55.72 L,"Perumbakkam,Chennai"
244,3 ,1770 ,1.76 Cr,"Anna Nagar,Chennai"
245,3 ,1834 ,1.83 Cr,"Anna Nagar,Chennai"
246,3 ,1844 ,1.84 Cr,"Anna Nagar,Chennai"
247,3 ,2136 ,2.13 Cr,"Anna Nagar,Chennai"
248,3 ,1225 ,85 L,"Perungalathur,Chennai"
249,2 ,1173 ,85 L,"Manapakkam,Chennai"
250,3 ,1225 ,85 L,"Perungalathur,Chennai"
251,2 ,957 ,64 L,"Perungalathur,Chennai"
252,2 ,957 ,64 L,"Perungalathur,Chennai"
253,2 ,957 ,64 L,"Perungalathur,Chennai"
254,3 ,1430 ,58.63 L,"Sithalapakkam,Chennai"
255,2 ,1015 ,41.61 L,"Sithalapakkam,Chennai"
256,3 ,1335 ,54.73 L,"Sithalapakkam,Chennai"
257,2 ,1100 ,45.1 L,"Sithalapakkam,Chennai"
258,3 ,1400 ,57.4 L,"Sithalapakkam,Chennai"
259,3 ,1450 ,78.28 L,"Medavakkam,Chennai"
260,3 ,1400 ,57.4 L,"Sithalapakkam,Chennai"
261,3 ,1239 ,53.21 L,"West Tambaram,Chennai"
262,3 ,1239 ,53.21 L,"West Tambaram,Chennai"
263,2 ,1176 ,50.5 L,"West Tambaram,Chennai"
264,2 ,1176 ,50.5 L,"West Tambaram,Chennai"
265,3 ,1310 ,56.26 L,"West Tambaram,Chennai"
266,3 ,1310 ,56.26 L,"West Tambaram,Chennai"
267,3 ,1246 ,53.51 L,"West Tambaram,Chennai"
268,3 ,1246 ,53.51 L,"West Tambaram,Chennai"
269,3 ,1253 ,53.81 L,"West Tambaram,Chennai"
270,3 ,1253 ,53.81 L,"West Tambaram,Chennai"
271,3 ,1423 ,61.11 L,"West Tambaram,Chennai"
272,3 ,1422 ,61.07 L,"West Tambaram,Chennai"
273,3 ,1423 ,61.11 L,"West Tambaram,Chennai"
274,3 ,1422 ,61.07 L,"West Tambaram,Chennai"
275,3 ,1355 ,58.19 L,"West Tambaram,Chennai"
276,3 ,1355 ,58.19 L,"West Tambaram,Chennai"
277,3 ,1561 ,67.04 L,"West Tambaram,Chennai"
278,3 ,1561 ,67.04 L,"West Tambaram,Chennai"
279,3 ,1297 ,55.7 L,"West Tambaram,Chennai"
280,3 ,1422 ,61.07 L,"West Tambaram,Chennai"
