,BHK,Area,Price,Location
1075,2 BHK,1281 Sq.Ft,32.02 L,"Attibele,Bangalore"
1076,2 BHK,1147 Sq.Ft,28.67 L,"Attibele,Bangalore"
1077,3 BHK,1365 Sq.Ft,34.12 L,"Attibele,Bangalore"
1078,3 BHK,1889 Sq.Ft,64.22 L,"Horamavu,Bangalore"
1079,2 BHK,1200 Sq.Ft,84 L,"Hebbal,Bangalore"
1080,None,1200 Sq.Ft,1.15 Cr,"Annapurneshwari Nagar,Bangalore"
1081,None,2400 Sq.Ft,42 L,"Uttarahalli Hobli,Bangalore"
1082,None,4800 Sq.Ft,3.8 Cr,"Arakere,Bangalore"
1083,2 BHK,720 Sq.Ft,65 L,"Benson Town,Bangalore"
1084,None,1200 Sq.Ft,33.6 L,"Hulimangala,Bangalore"
1085,None,1200 Sq.Ft,49.8 L,"Gunjur,Bangalore"
1086,3 BHK,1200 Sq.Ft,49 L,"Jagadenahalli,Bangalore"
1087,2 BHK,1380 Sq.Ft,54 L,"Begur,Bangalore"
1088,3 BHK,2200 Sq.Ft,94 L,"Nelamangala,Bangalore"
1089,3 BHK,1505 Sq.Ft,85 L,"Whitefield Hope Farm Junction,Bangalore"
1090,3 BHK,2398 Sq.Ft,1.63 Cr,"Kengeri,Bangalore"
1091,2 BHK,975 Sq.Ft,43 L,"Begur,Bangalore"
1092,3 BHK,925 Sq.Ft,60 L,"Electronic City Phase II,Bangalore"
1093,3 BHK,1212 Sq.Ft,42.42 L,"Harohalli,Bangalore"
1094,2 BHK,950 Sq.Ft,36.1 L,"Ramamurthy Nagar,Bangalore"
1095,3 BHK,1540 Sq.Ft,53.9 L,"Harohalli,Bangalore"
1096,3 BHK,1181 Sq.Ft,41.33 L,"Harohalli,Bangalore"
1097,3 BHK,1250 Sq.Ft,47.5 L,"Ramamurthy Nagar,Bangalore"
1098,3 BHK,1350 Sq.Ft,47.25 L,"Harohalli,Bangalore"
1099,2 BHK,987 Sq.Ft,34.54 L,"Harohalli,Bangalore"
1100,3 BHK,1500 Sq.Ft,57 L,"Ramamurthy Nagar,Bangalore"
1101,2 BHK,945 Sq.Ft,33.07 L,"Harohalli,Bangalore"
1102,2 BHK,892 Sq.Ft,31.22 L,"Harohalli,Bangalore"
1103,2 BHK,1200 Sq.Ft,45.6 L,"Ramamurthy Nagar,Bangalore"
1104,None,1200 Sq.Ft,23 L,"Jagadenahalli,Bangalore"
1105,None,1600 Sq.Ft,1.52 Cr,"Mathikere,Bangalore"
1106,2 BHK,1040 Sq.Ft,44.9 L,"Subramanyapura,Bangalore"
1107,2 BHK,895 Sq.Ft,37.5 L,"Talaghattapura,Bangalore"
1108,3 BHK,1200 Sq.Ft,49 L,"Jagadenahalli,Bangalore"
1109,4 BHK,2300 Sq.Ft,1.35 Cr,"NRI Layout,Bangalore"
1110,4 BHK,2100 Sq.Ft,1.35 Cr,"NRI Layout,Bangalore"
1111,3 BHK,1297 Sq.Ft,95 L,"Dasarahalli on Tumkur Road,Bangalore"
1112,2 BHK,1106 Sq.Ft,44.24 L,"Jakkur,Bangalore"
1113,2 BHK,1096 Sq.Ft,43.84 L,"Jakkur,Bangalore"
1114,2 BHK,1029 Sq.Ft,41.16 L,"Jakkur,Bangalore"
1115,2 BHK,981 Sq.Ft,39.24 L,"Jakkur,Bangalore"
1116,None,1453 Sq.Ft,45.04 L,"Kumbalgodu,Bangalore"
1117,3 BHK,1346 Sq.Ft,77 L,"Kanakapura Road Beyond Nice Ring Road,Bangalore"
1118,None,600 Sq.Ft,14.4 L,"S.Bingipura,Bangalore"
1119,None,900 Sq.Ft,48.6 L,"Arakere,Bangalore"
1120,None,1260 Sq.Ft,1.53 Cr,"Banaswadi,Bangalore"
1121,4 BHK,3500 Sq.Ft,2.55 Cr,"Harlur,Bangalore"
1122,3 BHK,3000 Sq.Ft,1.7 Cr,"Adugodi,Bangalore"
1123,2 BHK,1100 Sq.Ft,57.2 L,"Talaghattapura,Bangalore"
1124,3 BHK,1000 Sq.Ft,38.38 L,"Devanahalli,Bangalore"
1125,3 BHK,1303 Sq.Ft,75 L,"Horamavu,Bangalore"
1126,3 BHK,1836 Sq.Ft,2.46 Cr,"CV Raman Nagar,Bangalore"
1127,3 BHK,3004 Sq.Ft,3.23 Cr,"Bannerghatta,Bangalore"
1128,2 BHK,1224 Sq.Ft,63.64 L,"Jakkur,Bangalore"
1129,3 BHK,1000 Sq.Ft,60 L,"Devanahalli,Bangalore"
1130,2 BHK,1323 Sq.Ft,52 L,"Bommanahalli,Bangalore"
1131,9 BHK,4563 Sq.Ft,2.79 Cr,"Varanasi,Bangalore"
1132,3 BHK,1240 Sq.Ft,50 L,"Hesaraghatta,Bangalore"
1133,2 BHK,1210 Sq.Ft,42.35 L,"Kada Agrahara,Bangalore"
1134,2 BHK,1210 Sq.Ft,42.35 L,"Kada Agrahara,Bangalore"
1135,2 BHK,1100 Sq.Ft,86 L,"Kodigehalli,Bangalore"
1136,4 BHK,4700 Sq.Ft,3.4 Cr,"Annapurneshwari Nagar,Bangalore"
1137,None,1200 Sq.Ft,42 L,"Arebannimangala,Bangalore"
1138,3 BHK,1408 Sq.Ft,55.93 L,"Electronic City Phase II,Bangalore"
1139,2 BHK,1200 Sq.Ft,1.81 Cr,"Koramangala,Bangalore"
1140,2 BHK,1212 Sq.Ft,76 L,"HBR Layout,Bangalore"
1141,5 BHK,1800 Sq.Ft,1.4 Cr,"Mahadevapura,Bangalore"
1142,2 BHK,2200 Sq.Ft,1.65 Cr,"Ullal Uppanagar,Bangalore"
1143,2 BHK,1240 Sq.Ft,42 L,"Chandapura,Bangalore"
1144,3 BHK,1430 Sq.Ft,70 L,"Kengeri Satellite Town,Bangalore"
1145,2 BHK,790 Sq.Ft,37 L,"Kengeri,Bangalore"
1146,6 BHK,3300 Sq.Ft,1.55 Cr,"Krishnarajapura,Bangalore"
1147,3 BHK,1190 Sq.Ft,57 L,"Kengeri,Bangalore"
1148,2 BHK,950 Sq.Ft,27 L,"Hoskote,Bangalore"
1149,2 BHK,980 Sq.Ft,27 L,"Hoskote,Bangalore"
1150,3 BHK,1410 Sq.Ft,76.62 L,"Hennur,Bangalore"
1151,2 BHK,1240 Sq.Ft,68.14 L,"Hennur,Bangalore"
1152,2 BHK,1187 Sq.Ft,65.5 L,"Hennur,Bangalore"
1153,3 BHK,1410 Sq.Ft,76.62 L,"Hennur,Bangalore"
1154,3 BHK,1360 Sq.Ft,74.13 L,"Hennur,Bangalore"
1155,2 BHK,1150 Sq.Ft,63.65 L,"Hennur,Bangalore"
1156,2 BHK,1235 Sq.Ft,67.89 L,"Hennur,Bangalore"
1157,2 BHK,1234 Sq.Ft,67.84 L,"Hennur,Bangalore"
1158,2 BHK,1134 Sq.Ft,62.85 L,"Hennur,Bangalore"
1159,2 BHK,1100 Sq.Ft,61.16 L,"Hennur,Bangalore"
1160,3 BHK,1621 Sq.Ft,95 L,"Vidyaranyapura,Bangalore"
1161,2 BHK,655 Sq.Ft,18 L,"Electronic City Phase 2,Bangalore"
1162,3 BHK,1200 Sq.Ft,52 L,"Jagadenahalli,Bangalore"
1163,3 BHK,1200 Sq.Ft,55 L,"Gunjur,Bangalore"
